from,to,pos,ht,wt,dob,college
2008,2018,F-G,6-9,186,March 5, 1986,University of Florida
2002,2005,G,6-4,184,November 19, 1980,Auburn University
1974,1982,F-C,6-9,210,December 3, 1951,University of Minnesota
1979,1986,G,6-4,180,September 16, 1955,University of Arkansas
2007,2014,G-F,6-7,220,March 20, 1985,University of Arkansas
2002,2010,C,7-2,252,October 2, 1979,
1950,1956,G,6-1,180,May 1, 1923,Louisiana State University
1985,1997,F-C,6-9,240,August 14, 1959,Pennsylvania State University
1976,1987,F-G,6-5,210,September 17, 1953,University of Louisville
1963,1975,F-C,6-6,228,April 4, 1939,University of Kansas
1947,1947,F,6-2,195,September 22, 1923,University of Charleston
1947,1947,F,6-4,175,December 31, 1923,Dartmouth College
1970,1975,F-G,6-5,210,June 15, 1947,University of Toledo
1974,1983,F-G,6-7,210,August 23, 1951,Virginia Polytechnic Institute and State University
1968,1968,G,6-4,190,April 18, 1944,Johnson C. Smith University
1978,1978,G,6-2,185,August 31, 1952,University of Michigan
1986,1987,C,7-0,235,June 21, 1963,University of South Carolina
1981,1981,G,6-4,180,August 29, 1958,Texas A&M University
2010,2012,F,6-7,255,March 20, 1987,University of Washington
1982,1983,G,6-4,185,February 24, 1958,West Virginia Wesleyan College
2017,2018,G,6-5,215,December 11, 1992,University of Virginia
1975,1978,G,6-4,178,January 11, 1954,University of Notre Dame
1949,1950,F-G,6-4,185,May 11, 1920,West Texas A&M University
1971,1971,F,6-4,190,,Temple University
2008,2018,G,6-0,161,January 14, 1985,University of Oregon
2018,2018,G-F,6-6,220,January 22, 1996,University of Oregon
1992,1994,F,6-6,200,October 12, 1969,University of Louisiana at Lafayette
2012,2014,G-F,6-5,200,January 26, 1989,Providence College
1981,1988,F,6-7,220,August 17, 1958,La Salle University
1989,1998,G,5-11,165,July 31, 1965,University of California, Irvine
2007,2009,F,6-9,245,May 12, 1981,DePaul University
2016,2017,F-G,6-7,210,October 10, 1992,Stanford University
1949,1950,F,6-4,205,November 12, 1923,Miami University
2009,2018,G,6-2,175,September 24, 1984,California State University, Fullerton
1990,2002,F,6-7,214,February 29, 1968,North Carolina State University
2002,2005,F,6-9,200,June 28, 1979,Syracuse University
1949,1949,F,6-2,175,March 14, 1923,Humboldt State University
1991,2002,G,6-1,160,November 29, 1968,Jacksonville University
2007,2009,G,6-0,185,August 17, 1984,University of Illinois at Urbana-Champaign
2010,2012,F,6-7,225,September 8, 1987,Xavier University
2003,2010,G,6-5,220,December 30, 1978,University of Texas at San Antonio
2002,2002,C,7-0,244,May 17, 1979,Indian Hills Community College
1972,1984,G,6-3,182,August 7, 1948,University of Iowa
1958,1958,F,6-6,190,October 30, 1935,Wayne State University
1999,1999,G,6-4,210,July 28, 1975,Pepperdine University
1947,1947,G,6-0,155,October 2, 1923,University of Evansville
2015,2015,G,6-4,215,December 18, 1992,University of Missouri
